"mztime"	"VK_180504_097"	"VK_180504_103"	"VK_180504_121"	"VK_180504_127"	"VK_180504_145"	"VK_180504_151"	"VK_180504_181"	"VK_180504_187"	"VK_180504_205"	"VK_180504_211"
"mztime"	"MPP"	"Control"	"MPP"	"Control"	"MPP"	"Control"	"MPP"	"Control"	"MPP"	"Control"
"98.05997153/69.313106"	"1133107.937"	"663693.8821"	"1462908.99"	"571595.3509"	"1332981.129"	"398944.0372"	"1394151.275"	"906796.6689"	"484144.7208"	"351371.1327"
"98.0915058/53.18273887"	"56897812"	"56897812"	"56897812"	"544869.4975"	"56897812"	"56897812"	"278672.5288"	"694197.2093"	"710221.6349"	"701575.3008"
"98.19667015/10.35776595"	"40426.4524"	"37021.11266"	"30637.43064"	"56580.06345"	"45167.98944"	"39887.70073"	"46926.84708"	"42485.11614"	"44201.71591"	"44092.97547"
"98.48770607/286.2594209"	"2684858.021"	"4337626.125"	"4854703.861"	"2958649.358"	"3034804.75"	"2887335.797"	"2560865.44"	"3335858.997"	"3378002.19"	"3138134.326"
"98.51194356/264.1192886"	"6764260.79"	"130233044.2"	"64167461.13"	"34335754.42"	"6392307.203"	"86432259.64"	"8086905.103"	"7145525.958"	"71096811.77"	"14538964.93"
"98.5151788/279.9121409"	"822434.2025"	"1767093.286"	"2239293.488"	"829160.3034"	"752808.8611"	"1034949.638"	"56897812"	"56897812"	"56897812"	"1196501.145"
"98.7211731/186.2589454"	"8498719.42"	"6294871.477"	"3297097.956"	"5539737.247"	"3684093.167"	"4191878.318"	"4576832.891"	"3402639.957"	"4544668.934"	"2441953.298"
"98.72119205/246.0584253"	"1676553.643"	"8066994.777"	"5839407.848"	"2693450.321"	"5763867.695"	"9921564.843"	"2428408.539"	"4180924.472"	"4068148.31"	"56897812"
"98.91170432/104.2622643"	"1021454.148"	"1986630.951"	"1446337.226"	"894920.087"	"1011604.605"	"56897812"	"795852.8214"	"607018.8019"	"1285747.599"	"1080990.633"
"98.94751411/235.6868372"	"718673.0867"	"5523583.928"	"2385774.78"	"2039712.755"	"2175207.457"	"3921455.779"	"56897812"	"56897812"	"3102395.426"	"56897812"
"98.94752459/98.20610156"	"3255873.364"	"6619169.801"	"4858100.328"	"4220940.461"	"2495013.235"	"8427901.995"	"56897812"	"56897812"	"3032327.94"	"56897812"
"98.95362858/100.7966247"	"2877650.832"	"56897812"	"2836594.647"	"56897812"	"2464498.321"	"56897812"	"56897812"	"56897812"	"2319330.299"	"56897812"
"98.96130051/20.37173753"	"408818.6093"	"406417.3292"	"444377.3869"	"56897812"	"360883.153"	"427057.5727"	"56897812"	"56897812"	"414657.2334"	"56897812"
"98.96155336/104.3834081"	"2177042.735"	"56897812"	"1961495.619"	"56897812"	"2508649.853"	"56897812"	"56897812"	"56897812"	"1530154.835"	"56897812"
"98.96584191/258.9815342"	"40170601.55"	"52716406.05"	"80781047.12"	"56897812"	"24211820.2"	"140442551.1"	"128891680.4"	"93742254.97"	"131297012.7"	"23356057.32"
"98.96798646/111.0786855"	"6470908.76"	"56897812"	"56897812"	"7133946.513"	"4483992.719"	"56897812"	"56897812"	"3454457.718"	"56897812"	"6583484.888"
"98.97245561/234.1899624"	"6726053.96"	"11517609.29"	"4420572.973"	"3724496.878"	"9105884.073"	"9366461.865"	"3780050.253"	"4788318.183"	"8114014.275"	"6034447.538"
"98.97546944/276.6556771"	"56897812"	"7183134.474"	"56897812"	"2822433.513"	"56897812"	"4683063.757"	"8306913.182"	"6622704.515"	"4480205.207"	"1686923.482"
"98.97787081/136.7915596"	"26783931.52"	"48715295.29"	"52464581.47"	"56658323.45"	"13529777.56"	"69395625.6"	"29042189.57"	"22328818.79"	"23847682.37"	"28532610.16"
"98.97790042/217.322325"	"41991957.36"	"33787619.68"	"18404816.93"	"23011286.74"	"22437535.67"	"24446406.93"	"32283768.79"	"20591896.75"	"16379784.3"	"19187262.67"
"98.9865085/21.23590412"	"558773.9215"	"692429.2481"	"982393.4207"	"515659.211"	"475610.9933"	"584399.0369"	"435477.2766"	"56897812"	"371328.6065"	"386337.9122"
"98.98720106/282.5923397"	"2902792.599"	"5998675.26"	"2599391.941"	"56897812"	"1001441.16"	"56897812"	"3443170.391"	"56897812"	"56897812"	"56897812"
"98.99017395/136.9245229"	"64480419.73"	"65025665.35"	"33362238.22"	"49806906.15"	"5397685.995"	"36595794.3"	"36584904.31"	"24108711.24"	"22742475.41"	"50508126.72"
"98.99031186/275.2594375"	"13526572.88"	"38559674.58"	"13868327.32"	"11577902.84"	"10536290.97"	"23988742.9"	"16869641.52"	"11840321.62"	"10431280.23"	"16833751.91"
"98.99998618/229.5832858"	"2386036.3"	"5717955.749"	"2907089.286"	"2926749.259"	"56897812"	"56897812"	"56897812"	"2642608.134"	"3428773.901"	"1726421.545"
"99.00009821/120.4836665"	"3689916.234"	"7862912.263"	"6090735.83"	"3954526.93"	"56897812"	"56897812"	"56897812"	"6652956.618"	"6143809.648"	"3305567.994"
"99.00871799/104.5403326"	"2722351.196"	"193199.1912"	"3740259.929"	"56897812"	"2755901.163"	"3465944.573"	"56897812"	"56897812"	"2439480.997"	"56897812"
"99.00921522/238.5403746"	"373540.4767"	"2249672.059"	"1567707.846"	"4842379.781"	"348702.8729"	"1874640.58"	"56897812"	"56897812"	"729413.0901"	"56897812"
"99.01355109/258.5855274"	"1122051.23"	"3988147.921"	"4462923.976"	"5932114.232"	"56897812"	"5783186.085"	"56897812"	"56897812"	"1540613.684"	"56897812"
"99.01963576/199.9885626"	"28743232.45"	"56000320.74"	"52737654.52"	"31093179.45"	"44175464.73"	"61270343.73"	"43951351.82"	"67401987.16"	"52920309.55"	"49564211.55"
"99.04387403/110.7582213"	"2460710.507"	"3900777.957"	"3202465.831"	"289894.7789"	"3623842.218"	"1825890.807"	"3816513.889"	"1513826.904"	"1389144.998"	"2117455.219"
"99.04857419/100.0195972"	"56897812"	"56897812"	"56897812"	"763526.3388"	"56897812"	"1825401.22"	"56897812"	"56897812"	"1043123.201"	"2228044.819"
"99.05520225/14.58468578"	"1055387.192"	"56897812"	"1196034.174"	"836012.9923"	"909989.0044"	"56897812"	"810540.7897"	"1052326.586"	"959870.6775"	"460441.1369"
"99.0552321/258.7066918"	"2069730.968"	"56897812"	"1364476.261"	"1866840.354"	"1819055.38"	"56897812"	"1072128.424"	"1943186.407"	"1986623.191"	"1583085.577"
"99.05636483/99.89127672"	"1081973.596"	"56897812"	"56897812"	"272724.0184"	"1308610.137"	"56897812"	"851269.463"	"875638.4359"	"902933.154"	"494735.0513"
"99.09970055/13.54739503"	"56897812"	"56897812"	"56897812"	"166004.1207"	"120421.0468"	"56897812"	"320544.6617"	"394191.7949"	"123792.8853"	"56897812"
"99.24797977/121.1180486"	"3286371.519"	"13467240.06"	"8582550.782"	"6382685.472"	"6387842.224"	"10580474.2"	"7633691.793"	"7618189.812"	"7710056.323"	"5382282.832"
"99.24800494/235.3985878"	"5827661.252"	"8290268.152"	"3951751.061"	"3893566.146"	"4836207.002"	"10129678"	"3353918.082"	"5425444.791"	"4868707.071"	"6896212.538"
"99.52135632/202.5007452"	"890540.051"	"2035689.14"	"56897812"	"1139023.625"	"1288367.551"	"1622921.424"	"1262439.437"	"1958560.508"	"1715582.119"	"1518678.553"
"99.99030457/227.6575029"	"2303967.204"	"7945132.23"	"2016878.7"	"3797668.316"	"5245568.465"	"7854266.139"	"4843853.887"	"4141971.806"	"6283553.971"	"4673989.354"
"99.99030691/158.0911718"	"1300266.8"	"56897812"	"6522242.94"	"2364559.347"	"2081376.108"	"5218369.501"	"1620196.208"	"2924322.886"	"2348667.949"	"2313738.108"
"100.0138013/20.41913669"	"182971.2999"	"266833.2685"	"56897812"	"56897812"	"152326.6455"	"338999.5447"	"171745.0187"	"158934.7641"	"185911.524"	"176045.1071"
"100.0138051/277.6031397"	"1212841.148"	"2080861.264"	"56897812"	"56897812"	"1048577.746"	"1006187.867"	"56897812"	"56897812"	"56897812"	"430087.0784"
"100.0175978/201.3384047"	"2046847.416"	"3776502.835"	"4435928.711"	"2203003.228"	"3298253.737"	"4339324.236"	"3683395.154"	"5426626.779"	"3982202.443"	"3640908.045"
"100.0472026/292.051201"	"2130799.64"	"1710735.829"	"1652719.304"	"2253647.53"	"1864119.057"	"1861934.49"	"1512703.683"	"1735046.014"	"1838005.447"	"1585165.878"
"100.0755784/279.4759964"	"6786523.258"	"6768779.107"	"12404816.62"	"10566026.76"	"5451434.674"	"9800886.988"	"9758998.483"	"4828462.448"	"8132049.492"	"7600646.689"
"100.0836781/242.7155167"	"1289092.813"	"25643.91431"	"56897812"	"1122325.998"	"852217.9894"	"56897812"	"56897812"	"1240218.621"	"1130020.672"	"952700.1584"
"100.1305672/8.182980599"	"313014.8"	"223309.4667"	"56897812"	"56897812"	"293295.8562"	"56897812"	"286406.5989"	"56897812"	"342368.1133"	"337065.8417"
"100.9883316/262.1960994"	"53292448.1"	"169979481.9"	"124898633.6"	"29073404.61"	"51922362.68"	"287682519.9"	"162158865.9"	"74855709.61"	"172899626.6"	"56897812"
"100.9935658/56.99530892"	"1561091.304"	"2986616.261"	"3053936.082"	"758830.1828"	"1267632.409"	"1211915.091"	"56897812"	"1392972.041"	"56897812"	"810572.7241"
"101.0308259/289.0886618"	"1521862.735"	"2367486.233"	"1256044.806"	"1936140.075"	"1967541.035"	"1779691.449"	"1669080.9"	"1778094.778"	"1542256.945"	"1959790.377"
"101.0345011/12.16866554"	"240712.7618"	"212949.963"	"56897812"	"234766.6737"	"120410.8333"	"274290.8541"	"365138.8414"	"269251.875"	"198210.6493"	"121186.839"
"101.0708967/10.21385889"	"287234.3699"	"212739.1608"	"56897812"	"205261.6811"	"196535.5403"	"239527.0466"	"278811.451"	"286650.542"	"220716.0808"	"243707.8267"
"101.5086509/20.60127952"	"187749.3262"	"214788.1428"	"243903.9366"	"183468.9566"	"131184.254"	"142960.6028"	"139319.7565"	"149987.5448"	"157927.0312"	"203800.6344"
"101.5428418/277.0798068"	"10707098.45"	"56897812"	"28650595.74"	"10245270.02"	"7884269.521"	"56897812"	"6960571.943"	"6473082.351"	"6986965.212"	"5462784.866"
"101.7586455/145.133132"	"3376467.2"	"56897812"	"56897812"	"3382029.201"	"3248921.359"	"56897812"	"2608871.853"	"2327833.892"	"2494900.151"	"2718048.045"
"102.0451133/119.8515848"	"56897812"	"56897812"	"56897812"	"56897812"	"7671975.789"	"56897812"	"5057017.281"	"5013553.454"	"2109148.381"	"2811786.799"
