"Query.Mass","Matched.Compound","Matched.Form","Mass.Diff"
"150.0582053","C00302","M(Cl37)+H[1+]","0.000528833229992642"
"150.0582053","C00855","M+H[1+]","7.11667699988539e-05"
"150.0582053","C00979","M(Cl37)+H[1+]","0.000528833229992642"
"159.0650609","C00234","M(C13)+3H[3+]","0.00141776656332127"
"239.0885197","C00200","M-HCOONa+H[1+]","0.00124323322995679"
"136.931014","C00059","M+K[1+]","0.000837533229997689"
"97.02833079","C00544","M-C3H4O2+H[1+]","0.000145676770003433"
"97.02833079","C01161","M-C3H4O2+H[1+]","0.000145676770003433"
"97.02833079","C00489","M-H4O2+H[1+]","4.56767700143246e-05"
"97.02833079","C00596","M-H2O+H[1+]","4.56767700001137e-05"
"97.02833079","C00682","M-HCOOH+H[1+]","0.000145676769989223"
"97.02833079","C00900","M-H4O2+H[1+]","4.56767700143246e-05"
"97.02833079","C00974","M+3H[3+]","7.90101033345536e-05"
"97.02833079","C01378","M+3H[3+]","7.90101033345536e-05"
"226.0970359","C00931","M[1+]","0.00163589999999658"
"226.0970359","C00977","M+Na[1+]","0.0018594332300097"
"171.0417053","C00423","M+Na[1+]","2.88332299760441e-05"
"171.0417053","C00672","M-CO2+H[1+]","2.88332299760441e-05"
"171.0417053","C00673","M-CO2+H[1+]","2.88332299760441e-05"
"171.0417053","C01390","M+HCOOK[1+]","7.11667699988539e-05"
"192.0653734","C00328","M-NH3+H[1+]","0.000203066770012583"
"192.0653734","C00624","M(S34)+H[1+]","0.001403066770024"
"192.0653734","C00352","M-HCOONa+H[1+]","0.000203066770041005"
"192.0653734","C00826","M-H4O2+H[1+]","0.000103066770009264"
"192.0653734","C01283","M-HCOONa+H[1+]","0.000203066770041005"
"104.0464087","C00989","M[1+]","0.000891300000006368"
"104.0464087","C01089","M[1+]","0.000891300000006368"
"104.0464087","C01188","M[1+]","0.000891300000006368"
"162.0758372","C00956","M+H[1+]","0.000239266770023505"
"162.0758372","C01046","M+H[1+]","0.000239266770023505"
"162.0758372","C01077","M+H[1+]","0.000239266770023505"
"162.0758372","C00248","M-CO2+H[1+]","0.00113926677002496"
"162.0758372","C00329","M-H2O+H[1+]","0.000239266769995083"
"162.0758372","C00579","M-HCOOH+H[1+]","0.00123926676999986"
"162.0758372","C00624","M-CO+H[1+]","0.000139266770020186"
"162.0758372","C01214","M-H2O+H[1+]","0.000239266769995083"
"169.0758758","C00078","M-H4O2+H[1+]","0.000100666770009639"
"169.0758758","C00525","M-H4O2+H[1+]","0.000100666770009639"
"169.0758758","C00806","M-H4O2+H[1+]","0.000100666770009639"
"105.0972244","C00576","M(Cl37)+H[1+]","0.000847933230005538"
"283.2623175","C00319","M-NH3+H[1+]","0.000858966770010738"
"283.2623175","C00712","M+H[1+]","0.000858966770010738"
"269.268538","C00427","M-HCOOK+H[1+]","0.00243846677005877"
"269.268538","C00584","M-HCOOK+H[1+]","0.00243846677005877"
"269.268538","C00696","M-HCOOK+H[1+]","0.00243846677005877"
"269.268538","C01312","M-HCOOK+H[1+]","0.00243846677005877"
"121.0395104","C00785","M-H2O+H[1+]","6.60667700032036e-05"
"229.0856151","C00509","M-CO2+H[1+]","0.000361366769965343"
"229.0856151","C00774","M-HCOOH+H[1+]","0.000361366769965343"
"229.0856151","C01263","M-CO2+H[1+]","0.000361366769965343"
"158.0212299","C00188","M+K[1+]","0.000253433230000155"
